Images\trainX_140.tif SegmentationClass\trainX_140.png
Images\trainX_924.tif SegmentationClass\trainX_924.png
Images\trainX_225.tif SegmentationClass\trainX_225.png
Images\trainX_370.tif SegmentationClass\trainX_370.png
Images\trainX_993.tif SegmentationClass\trainX_993.png
Images\trainX_275.tif SegmentationClass\trainX_275.png
Images\trainX_22.tif SegmentationClass\trainX_22.png
Images\trainX_240.tif SegmentationClass\trainX_240.png
Images\trainX_1108.tif SegmentationClass\trainX_1108.png
Images\trainX_467.tif SegmentationClass\trainX_467.png
Images\trainX_571.tif SegmentationClass\trainX_571.png
Images\trainX_966.tif SegmentationClass\trainX_966.png
Images\trainX_521.tif SegmentationClass\trainX_521.png
Images\trainX_53.tif SegmentationClass\trainX_53.png
Images\trainX_672.tif SegmentationClass\trainX_672.png
Images\trainX_705.tif SegmentationClass\trainX_705.png
Images\trainX_81.tif SegmentationClass\trainX_81.png
Images\trainX_933.tif SegmentationClass\trainX_933.png
Images\trainX_912.tif SegmentationClass\trainX_912.png
Images\trainX_413.tif SegmentationClass\trainX_413.png
Images\trainX_308.tif SegmentationClass\trainX_308.png
Images\trainX_641.tif SegmentationClass\trainX_641.png
Images\trainX_96.tif SegmentationClass\trainX_96.png
Images\trainX_945.tif SegmentationClass\trainX_945.png
Images\trainX_201.tif SegmentationClass\trainX_201.png
Images\trainX_326.tif SegmentationClass\trainX_326.png
Images\trainX_609.tif SegmentationClass\trainX_609.png
Images\trainX_825.tif SegmentationClass\trainX_825.png
Images\trainX_582.tif SegmentationClass\trainX_582.png
Images\trainX_972.tif SegmentationClass\trainX_972.png
Images\trainX_767.tif SegmentationClass\trainX_767.png
Images\trainX_247.tif SegmentationClass\trainX_247.png
Images\trainX_866.tif SegmentationClass\trainX_866.png
Images\trainX_204.tif SegmentationClass\trainX_204.png
Images\trainX_237.tif SegmentationClass\trainX_237.png
Images\trainX_469.tif SegmentationClass\trainX_469.png
Images\trainX_322.tif SegmentationClass\trainX_322.png
Images\trainX_226.tif SegmentationClass\trainX_226.png
Images\trainX_686.tif SegmentationClass\trainX_686.png
Images\trainX_300.tif SegmentationClass\trainX_300.png
Images\trainX_684.tif SegmentationClass\trainX_684.png
Images\trainX_1080.tif SegmentationClass\trainX_1080.png
Images\trainX_442.tif SegmentationClass\trainX_442.png
Images\trainX_83.tif SegmentationClass\trainX_83.png
Images\trainX_111.tif SegmentationClass\trainX_111.png
Images\trainX_737.tif SegmentationClass\trainX_737.png
Images\trainX_836.tif SegmentationClass\trainX_836.png
Images\trainX_210.tif SegmentationClass\trainX_210.png
Images\trainX_316.tif SegmentationClass\trainX_316.png
Images\trainX_98.tif SegmentationClass\trainX_98.png
Images\trainX_871.tif SegmentationClass\trainX_871.png
Images\trainX_578.tif SegmentationClass\trainX_578.png
Images\trainX_981.tif SegmentationClass\trainX_981.png
Images\trainX_116.tif SegmentationClass\trainX_116.png
Images\trainX_690.tif SegmentationClass\trainX_690.png
Images\trainX_336.tif SegmentationClass\trainX_336.png
Images\trainX_298.tif SegmentationClass\trainX_298.png
Images\trainX_738.tif SegmentationClass\trainX_738.png
Images\trainX_570.tif SegmentationClass\trainX_570.png
Images\trainX_914.tif SegmentationClass\trainX_914.png
Images\trainX_1091.tif SegmentationClass\trainX_1091.png
